timestamp,strike,type,side,price,trade_pnl,underlier
2022-11-01 09:15:00,18150,CE,BUY,69.65,,NIFTY
2022-11-01 09:15:00,18150,PE,BUY,107.1,,NIFTY
2022-11-01 09:48:08,18150,CE,SELL,82.6,12.949999999999989,NIFTY
2022-11-01 09:48:08,18150,PE,SELL,101.4,-5.699999999999989,NIFTY
2022-11-01 09:48:08,18200,CE,BUY,59.45,,NIFTY
2022-11-01 09:48:08,18200,PE,BUY,128.3,,NIFTY
2022-11-01 09:48:09,18200,CE,SELL,59.55,0.09999999999999432,NIFTY
2022-11-01 09:48:09,18200,PE,SELL,127.9,-0.4000000000000057,NIFTY
2022-11-01 09:48:09,18150,CE,BUY,82.65,,NIFTY
2022-11-01 09:48:09,18150,PE,BUY,101.35,,NIFTY
2022-11-01 09:48:18,18150,CE,SELL,83.1,0.44999999999998863,NIFTY
2022-11-01 09:48:18,18150,PE,SELL,100.85,-0.5,NIFTY
2022-11-01 09:48:18,18200,CE,BUY,59.65,,NIFTY
2022-11-01 09:48:18,18200,PE,BUY,127.55,,NIFTY
2022-11-01 09:48:19,18200,CE,SELL,59.65,0.0,NIFTY
2022-11-01 09:48:19,18200,PE,SELL,127.35,-0.20000000000000284,NIFTY
2022-11-01 09:48:19,18150,CE,BUY,83.05,,NIFTY
2022-11-01 09:48:19,18150,PE,BUY,100.6,,NIFTY
2022-11-01 09:48:41,18150,CE,SELL,84.0,0.9500000000000028,NIFTY
2022-11-01 09:48:41,18150,PE,SELL,99.45,-1.1499999999999915,NIFTY
2022-11-01 09:48:41,18200,CE,BUY,60.6,,NIFTY
2022-11-01 09:48:41,18200,PE,BUY,127.0,,NIFTY
2022-11-01 12:16:01,18200,CE,SELL,59.1,-1.5,NIFTY
2022-11-01 12:16:01,18200,PE,SELL,130.2,3.1999999999999886,NIFTY
2022-11-01 12:16:01,18150,CE,BUY,81.4,,NIFTY
2022-11-01 12:16:01,18150,PE,BUY,102.45,,NIFTY
2022-11-01 12:16:07,18150,CE,SELL,81.85,0.44999999999998863,NIFTY
2022-11-01 12:16:07,18150,PE,SELL,102.55,0.09999999999999432,NIFTY
2022-11-01 12:16:07,18200,CE,BUY,59.55,,NIFTY
2022-11-01 12:16:07,18200,PE,BUY,130.1,,NIFTY
2022-11-01 12:16:08,18200,CE,SELL,59.4,-0.14999999999999858,NIFTY
2022-11-01 12:16:08,18200,PE,SELL,130.1,0.0,NIFTY
2022-11-01 12:16:08,18150,CE,BUY,81.85,,NIFTY
2022-11-01 12:16:08,18150,PE,BUY,102.55,,NIFTY
2022-11-01 12:16:14,18150,CE,SELL,82.45,0.6000000000000085,NIFTY
2022-11-01 12:16:14,18150,PE,SELL,102.05,-0.5,NIFTY
2022-11-01 12:16:14,18200,CE,BUY,59.85,,NIFTY
2022-11-01 12:16:14,18200,PE,BUY,129.65,,NIFTY
2022-11-01 12:33:43,18200,CE,SELL,62.4,2.549999999999997,NIFTY
2022-11-01 12:33:43,18200,PE,SELL,131.45,1.799999999999983,NIFTY
2022-11-01 12:33:43,18150,CE,BUY,84.9,,NIFTY
2022-11-01 12:33:43,18150,PE,BUY,103.6,,NIFTY
2022-11-01 12:33:44,18150,CE,SELL,85.55,0.6499999999999915,NIFTY
2022-11-01 12:33:44,18150,PE,SELL,103.55,-0.04999999999999716,NIFTY
2022-11-01 12:33:44,18200,CE,BUY,62.95,,NIFTY
2022-11-01 12:33:44,18200,PE,BUY,131.15,,NIFTY
2022-11-01 12:34:30,18200,CE,SELL,62.2,-0.75,NIFTY
2022-11-01 12:34:30,18200,PE,SELL,131.8,0.6500000000000057,NIFTY
2022-11-01 12:34:30,18150,CE,BUY,84.6,,NIFTY
2022-11-01 12:34:30,18150,PE,BUY,104.4,,NIFTY
2022-11-01 12:34:37,18150,CE,SELL,85.65,1.0500000000000114,NIFTY
2022-11-01 12:34:37,18150,PE,SELL,103.4,-1.0,NIFTY
2022-11-01 12:34:37,18200,CE,BUY,62.85,,NIFTY
2022-11-01 12:34:37,18200,PE,BUY,130.85,,NIFTY
2022-11-01 12:34:55,18200,CE,SELL,62.3,-0.5500000000000043,NIFTY
2022-11-01 12:34:55,18200,PE,SELL,131.9,1.0500000000000114,NIFTY
