timestamp,strike,type,side,price,trade_pnl,underlier
2022-11-01 09:15:00,41600,CE,BUY,270.0,,BANKNIFTY
2022-11-01 09:15:00,41600,PE,BUY,414.15,,BANKNIFTY
2022-11-01 09:15:40,41600,CE,SELL,264.8,-5.199999999999989,BANKNIFTY
2022-11-01 09:15:40,41600,PE,SELL,338.65,-75.5,BANKNIFTY
2022-11-01 09:15:40,41700,CE,BUY,219.95,,BANKNIFTY
2022-11-01 09:15:40,41700,PE,BUY,395.65,,BANKNIFTY
2022-11-01 09:15:58,41700,CE,SELL,216.15,-3.799999999999983,BANKNIFTY
2022-11-01 09:15:58,41700,PE,SELL,403.35,7.7000000000000455,BANKNIFTY
2022-11-01 09:15:58,41600,CE,BUY,263.25,,BANKNIFTY
2022-11-01 09:15:58,41600,PE,BUY,346.5,,BANKNIFTY
2022-11-01 09:16:01,41600,CE,SELL,255.75,-7.5,BANKNIFTY
2022-11-01 09:16:01,41600,PE,SELL,343.35,-3.1499999999999773,BANKNIFTY
2022-11-01 09:16:01,41700,CE,BUY,210.05,,BANKNIFTY
2022-11-01 09:16:01,41700,PE,BUY,397.2,,BANKNIFTY
2022-11-01 09:16:02,41700,CE,SELL,212.55,2.5,BANKNIFTY
2022-11-01 09:16:02,41700,PE,SELL,400.05,2.8500000000000227,BANKNIFTY
2022-11-01 09:16:02,41600,CE,BUY,258.3,,BANKNIFTY
2022-11-01 09:16:02,41600,PE,BUY,344.55,,BANKNIFTY
2022-11-01 09:16:07,41600,CE,SELL,261.45,3.1499999999999773,BANKNIFTY
2022-11-01 09:16:07,41600,PE,SELL,343.65,-0.9000000000000341,BANKNIFTY
2022-11-01 09:16:07,41700,CE,BUY,214.15,,BANKNIFTY
2022-11-01 09:16:07,41700,PE,BUY,397.3,,BANKNIFTY
2022-11-01 09:16:09,41700,CE,SELL,215.15,1.0,BANKNIFTY
2022-11-01 09:16:09,41700,PE,SELL,399.05,1.75,BANKNIFTY
2022-11-01 09:16:09,41600,CE,BUY,261.2,,BANKNIFTY
2022-11-01 09:16:09,41600,PE,BUY,341.75,,BANKNIFTY
2022-11-01 09:16:11,41600,CE,SELL,258.55,-2.6499999999999773,BANKNIFTY
2022-11-01 09:16:11,41600,PE,SELL,344.3,2.5500000000000114,BANKNIFTY
2022-11-01 09:16:11,41700,CE,BUY,214.95,,BANKNIFTY
2022-11-01 09:16:11,41700,PE,BUY,397.75,,BANKNIFTY
2022-11-01 09:16:12,41700,CE,SELL,213.1,-1.8499999999999943,BANKNIFTY
2022-11-01 09:16:12,41700,PE,SELL,400.65,2.8999999999999773,BANKNIFTY
2022-11-01 09:16:12,41600,CE,BUY,258.6,,BANKNIFTY
2022-11-01 09:16:12,41600,PE,BUY,344.3,,BANKNIFTY
2022-11-01 09:16:14,41600,CE,SELL,259.15,0.5499999999999545,BANKNIFTY
2022-11-01 09:16:14,41600,PE,SELL,342.6,-1.6999999999999886,BANKNIFTY
2022-11-01 09:16:14,41700,CE,BUY,213.85,,BANKNIFTY
2022-11-01 09:16:14,41700,PE,BUY,397.55,,BANKNIFTY
2022-11-01 09:16:17,41700,CE,SELL,211.85,-2.0,BANKNIFTY
2022-11-01 09:16:17,41700,PE,SELL,400.3,2.75,BANKNIFTY
